DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,1995,4112289,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,1996,4116117,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,1997,4120947,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,1998,4122811,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,1999,4126432,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2000,4133855,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2001,4139842,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2002,4156906,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2003,4170674,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2004,4189973,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2005,4216493.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2006,4239954.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2007,4252922.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2008,4265500.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2009,4278068.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2010,4285442.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2011,4296293,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2012,4309977,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2013,4328238,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2014,4352447,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2015,4384529,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2016,4427918,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2017,4460424,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2018,4483749,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2019,4501742,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2020,4522292,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2021,4535712,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2022,4553444,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2023,4619957,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Austria,2024,4643918,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,1995,5175903,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,1996,5184262,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,1997,5198446,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,1998,5209592,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,1999,5220034,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2000,5233071,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2001,5245395,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2002,5267437,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2003,5288959,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2004,5309245,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2005,5334527.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2006,5367561.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2007,5403126.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2008,5442557.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2009,5484429.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2010,5527684.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2011,5598920,b,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2012,5635601,b,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2013,5665118,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2014,5687048,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2015,5713206,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2016,5741853,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2017,5762455,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2018,5784371,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2019,5810693,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2020,5841215,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2021,5854293,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2022,5883978,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2023,5946649,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Belgium,2024,5981093,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,1995,4297452,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,1996,4281347,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,1997,4263435,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,1998,4238235,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,1999,4216300,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2000,4199715,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2001,4182045,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2002,4035676,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2003,4003292,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2004,3973019,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2005,3944453.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2006,3914757.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2007,3886094.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2008,3857635.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2009,3831264.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2010,3807808.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2011,3780505,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2012,3760457,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2013,3701945,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2014,3662824,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2015,3621883,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2016,3578998,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2017,3537549,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2018,3494184,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2019,3450251,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2020,3405861,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2021,3389807,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2022,3364303,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2023,3348207,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Bulgaria,2024,3347783,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,1995,325432,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,1996,331524,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,1997,337118,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,1998,342190,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,1999,346537,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2000,350842,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2001,354797,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2002,359361,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2003,363583,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2004,368331,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2005,373746.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2006,379431.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2007,386402.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2008,395875.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2009,407004.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2010,419535.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2011,430993,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2012,443018,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2013,444842,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2014,440462,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2015,435183,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2016,435627,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2017,438139,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2018,442728,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2019,448068,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2020,453534,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2021,458357,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2022,463622,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2023,483955,b,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Cyprus,2024,490771,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,1995,5312697,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,1996,5304829,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,1997,5297052,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,1998,5290395,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,1999,5284186,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2000,5277036,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2001,5249667,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2002,5235670,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2003,5230950,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2004,5228205,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2005,5228199.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2006,5233925.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2007,5243638.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2008,5278305.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2009,5309105.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2010,5325922.0,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2011,5339500,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2012,5347235,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2013,5351776,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2014,5350039,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2015,5361348,,
ESTAT:DEMO_PJANBROAD(1.0),14/02/25 11:00:00,Annual,Number,Total,Females,Czechia,2016,5367513,,
