DATAFLOW,LAST UPDATE,freq,leg_form,farmtype,so_eur,crops,uaarea,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Austria,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Austria,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Austria,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Austria,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Belgium,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Belgium,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Belgium,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Belgium,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Bulgaria,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Bulgaria,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Bulgaria,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Bulgaria,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Cyprus,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Cyprus,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Cyprus,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Cyprus,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Czechia,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Czechia,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Czechia,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Czechia,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Germany,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Germany,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Germany,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Germany,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Denmark,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Denmark,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Denmark,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Denmark,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Estonia,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Estonia,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Estonia,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Estonia,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Greece,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Greece,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Greece,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Greece,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Spain,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Spain,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Spain,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Spain,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Finland,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Finland,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Finland,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Finland,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,France,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,France,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,France,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,France,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Croatia,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Croatia,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Croatia,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Croatia,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Hungary,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Hungary,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Hungary,2016,0,,
