DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2009,1822,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2010,1840,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2011,1862,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2012,1885,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2013,1897,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2014,1908,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2015,1923,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2016,1956,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2017,1977,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2018,1993,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2019,2014,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2020,1966,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2021,1988,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2022,2058,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Austria,2023,2079,,
