DATAFLOW,LAST UPDATE,freq,unit,deg_urb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,1995,49.9,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,1996,46.6,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,1997,45.2,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,1998,48.6,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,1999,45.8,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,2000,41.9,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,2001,43.3,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,2002,43.9,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,2003,42.1,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,2004,41.0,b,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,2005,44.1,b,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,2006,42.5,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,2007,46.6,b,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,2008,45.9,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,2009,46.2,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,2010,43.3,,
ESTAT:LFST_R_ERGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 24 years,Females,Austria,2011,42.7,,
