DATAFLOW,LAST UPDATE,freq,unit,deg_urb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,1995,5.5,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,1996,6.1,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,1997,6.0,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,1998,6.1,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,1999,5.5,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2000,5.7,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2001,4.3,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2002,5.7,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2003,5.9,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2004,7.5,b,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2005,7.0,b,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2006,7.5,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2007,7.1,b,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2008,5.6,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2009,6.7,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2010,6.3,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2011,6.2,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2012,6.8,b,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2013,7.9,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2014,8.2,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2015,7.8,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2016,8.7,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2017,8.0,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2018,7.7,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2019,7.2,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2020,9.0,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2021,9.7,b,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2022,7.3,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Austria,2023,7.7,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Belgium,1995,13.4,,
ESTAT:LFST_R_URGAU(1.0),12/12/24 23:00:00,Annual,Percentage,Cities,From 15 to 74 years,Females,Belgium,1996,13.9,,
