DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,1995,136416.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,1996,139338.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,1997,138584.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,1998,142902.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,1999,148537.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2000,154836.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2001,160091.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2002,162558.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2003,168391.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2004,174893.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2005,184230.6,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2006,192284.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2007,199213.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2008,207179.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2009,211552.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2010,217351.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2011,225190.6,,
