DATAFLOW,LAST UPDATE,freq,unit,crops,agprdmet,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2000,13.8,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2001,14.0,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2002,14.5,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2003,15.4,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2004,16.0,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2005,16.7,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2006,16.7,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2007,17.0,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2008,17.4,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2009,18.5,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2010,19.5,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2011,19.6,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2012,18.62,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2013,18.40,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2014,19.35,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2015,20.30,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2016,21.25,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2017,23.37,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2018,24.08,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2019,25.33,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Austria,2020,25.69,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2000,1.5,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2001,1.6,,
