DATAFLOW,LAST UPDATE,freq,unit,wat_proc,wat_src,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Belgium,2011,4.34,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Belgium,2012,4.37,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Belgium,2013,4.72,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Belgium,2014,4.27,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Belgium,2015,5.34,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Belgium,2016,4.66,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Belgium,2017,5.53,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Belgium,2018,8.17,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Belgium,2019,7.09,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Belgium,2020,8.27,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Belgium,2021,4.75,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Bulgaria,2011,1038.41,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Bulgaria,2012,930.60,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Bulgaria,2013,809.83,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Bulgaria,2014,716.35,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Bulgaria,2015,820.83,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Bulgaria,2016,898.45,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Bulgaria,2017,823.59,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Bulgaria,2018,713.28,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Bulgaria,2019,787.02,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Bulgaria,2020,746.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Bulgaria,2021,803.58,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2011,36.60,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2012,42.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2013,52.60,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2014,37.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2015,38.20,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2016,37.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2017,33.20,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2018,22.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2019,31.90,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2020,39.20,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2021,45.20,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2022,41.90,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2011,27.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2012,31.10,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2013,31.10,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2014,35.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2015,40.10,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2016,33.40,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2017,31.90,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2018,32.40,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2019,27.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2020,23.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2021,20.70,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2022,27.80,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2011,50.23,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2012,46.36,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2013,42.49,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2014,52.06,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2015,61.62,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2016,71.19,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2017,88.39,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2018,105.59,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2019,122.79,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2011,241.11,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2012,243.59,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2013,251.73,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2014,236.12,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2015,229.93,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2016,198.86,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2017,213.64,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2018,230.15,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2019,211.64,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2020,236.35,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2021,231.23,p,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2022,213.33,p,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2011,0.12,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2012,0.07,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2013,0.03,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2014,0.03,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2015,0.02,,
