DATAFLOW,LAST UPDATE,freq,unit,landuse,terrtypo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,1995,14835.7,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,1996,14835.7,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,1997,14834.5,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,1998,14834.7,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2000,14834.8,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2002,14837.3,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2003,14837.3,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2005,14837.7,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2006,14837.7,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2007,14837.7,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2008,14847.1,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2009,14847.1,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2010,14847.1,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2011,14847.1,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2012,14847,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2013,14777,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2014,14777,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2015,14777,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2016,14777,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2017,14777,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2018,14777,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2019,14777,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2020,14777,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2021,14777,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2022,14777,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Austria,2023,14777,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,1995,13343,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,1996,13343,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,1997,13343,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,1998,13343,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,1999,13343,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2000,13343,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2001,13343,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2002,13343,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2003,13343,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2004,13343,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2005,13343,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2006,13342,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2007,13342,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2008,13342,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2009,13342,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2010,13345,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2011,13345,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2012,13345,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2013,13407,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2014,13407,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2015,13407,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2016,13407,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2017,13407,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2018,13407,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2019,13407,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2020,13407,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2021,13046,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2022,13046,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Belgium,2023,13046,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,1995,85846.3,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,1996,85103,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,1997,84858,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,1998,85012.9,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,1999,85012.9,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2000,85087.1,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2001,85111.5,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2002,85111.5,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2003,85111.5,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2004,85111.5,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2005,85111.5,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2006,85111.5,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2007,85111.5,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2008,85111.5,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2009,85111.5,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2010,85111.5,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2011,85129,b,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2012,85128.8,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2013,85168,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2014,85168,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2015,85168,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2016,85168,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2017,85168,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2018,85168,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2019,85168,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2020,85168,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2021,85168,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2022,85168,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Bulgaria,2023,85168,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,1995,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,1996,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,1997,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,1998,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,1999,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2000,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2001,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2002,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2003,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2004,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2005,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2006,9250,,
