DATAFLOW,LAST UPDATE,freq,indic_de,terrtypo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2001,2193379,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2002,2207905,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2003,2217082,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2004,2230039,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2005,2247947,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2006,2264386,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2007,2276067,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2008,2284656,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2009,2294355,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2010,2300243,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2011,2307909,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2012,2319202,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2013,2331736,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2014,2348365,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2015,2371338,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2016,2402638,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2017,2422637,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2018,2437136,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2019,2450867,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2020,2465056,,
ESTAT:URT_GIND3(1.0),17/04/24 23:00:00,Annual,Population on 1 January - total,Intermediate regions,Austria,2021,2474824,,
