DATAFLOW,LAST UPDATE,freq,sex,age,terrtypo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2002,181510,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2003,181129,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2004,180030,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2005,179862,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2006,179057,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2007,177304,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2008,175153,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2009,173682,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2010,171461,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2011,170015,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2012,169002,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2013,168611,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2014,168938,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2015,170132,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2016,173307,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2017,175915,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2018,177551,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2019,178844,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2020,179892,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2021,180531,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2022,181552,,
ESTAT:URT_PJANAGGR3(1.0),07/05/24 23:00:00,Annual,Males,Less than 15 years,Intermediate regions,Austria,2023,184256,,
